File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.GVR\Extensions.cs,69,63,37,13,6,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.GVR\GVRProtocol.cs,506,472,219,47,33,0,1,3,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.GVR\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Logging\Logger.cs,284,244,158,27,15,0,25,96,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Logging\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Millennium\Controller.cs,25,17,11,0,7,0,1,4,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Millennium\MillenniumConnector.cs,963,735,437,100,116,13,112,679,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Millennium\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMulti\MillenniumMultiConnector - Copy.cs,999,836,478,124,116,11,47,288,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMulti\MillenniumMultiConnector.cs,1014,843,484,124,116,10,55,322,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMulti\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMultiV1\MillenniumMultiConnector.cs,927,797,461,123,98,11,32,177,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMultiV1\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignone\Controller.cs,21,18,12,0,3,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignone\NuovoPignoneProtocol.cs,729,645,391,94,71,2,13,88,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignone\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneCL\Controller.cs,19,16,10,0,3,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneCL\NuovoPignoneCLProtocol.cs,739,621,364,89,90,0,28,96,0,0
