File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Euromat\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Europump\Controller.cs,19,16,10,0,3,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Europump\EuropumpProtocol.cs,889,728,434,114,109,3,52,560,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Europump\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Fafnir\ATGProbe.cs,31,28,17,2,3,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Fafnir\Connector.cs,259,215,142,29,38,3,6,45,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Fafnir\Controller.cs,220,176,102,13,44,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Fafnir\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.FafnirDirect\ATGProbe.cs,31,28,17,2,3,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.FafnirDirect\Connector.cs,245,200,133,27,39,3,6,45,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.FafnirDirect\Controller.cs,220,176,102,13,44,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.FafnirDirect\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.FuelPump\FuelPumpWorkFlow.cs,974,721,450,138,117,4,136,437,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.FuelPump\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.FuelPump\Properties\Settings.Designer.cs,36,21,9,2,7,1,8,30,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Gilbarco\-Controller.cs,127,99,62,19,16,1,12,41,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Gilbarco\-GilbargoProtocol.cs,436,384,239,51,40,15,12,102,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Gilbarco\Connector.cs,493,445,281,82,40,13,8,65,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Gilbarco\Controller.cs,18,16,10,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Gilbarco\GilbarcoController.cs,66,58,39,10,8,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Gilbarco\GilbarcoProtocol.cs,1889,551,342,70,240,23,1098,3650,0,2
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Gilbarco\GilbargoProtocol.cs,436,384,239,51,40,15,12,102,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Gilbarco\_GilbarcoController.cs,65,57,38,10,8,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Gilbarco\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GilbarcoCn\Controller.cs,17,15,9,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GilbarcoCn\GilbarcoProtocolCn.cs,806,638,392,104,100,16,68,328,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GilbarcoCn\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GilbarcoMulti\Controller.cs,18,16,10,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GilbarcoMulti\GilbarcoProtocol.cs,960,694,428,112,94,16,172,1101,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GilbarcoMulti\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GilbarcoMulti\Properties\Resources.Designer.cs,64,33,17,3,9,1,22,119,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GilbarcoMulti\Properties\Settings.Designer.cs,27,13,6,1,6,1,8,30,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GVR\Controller.cs,19,16,10,0,3,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GVR\CRC.cs,564,560,37,3,4,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GVR\Extensions.cs,69,63,37,13,6,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GVR\GVRProtocol.cs,496,463,214,45,33,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GVR\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Logging\Logger.cs,218,181,116,20,12,0,25,96,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Logging\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Millennium\Controller.cs,25,17,11,0,7,0,1,4,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Millennium\MillenniumConnector.cs,955,743,440,100,114,13,98,632,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Millennium\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.MillenniumMulti\MillenniumMultiConnector.cs,982,826,468,122,115,11,41,265,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.MillenniumMulti\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignone\Controller.cs,21,18,12,0,3,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignone\NuovoPignoneProtocol.cs,1273,611,372,86,102,6,560,1715,0,2
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignone\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignoneCL\Controller.cs,19,16,10,0,3,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignoneCL\NuovoPignoneCLProtocol.cs,725,614,360,84,88,0,23,84,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignoneCL\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignoneV1\Controller.cs,19,16,10,0,3,0,0,0,0,0
