Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\UI\Forms,40,10335,8396,7079,245,474,2,1465,1627,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\UI\SelectionForms,36,6053,4774,3924,139,346,0,933,1266,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\UI\SettingForms,28,11348,8819,7692,223,491,3,2038,3192,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\bin,3,158,130,0,0,28,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\bin\Debug,3,158,130,0,0,28,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\bin\Debug\Version 1.3,3,158,130,0,0,28,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.WorkFlow,7,479,365,221,38,80,0,34,190,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.WorkFlow\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\BalanceExporter,21,11501,9653,6032,754,1087,4,761,1162,0,4
D:\dev\Exedron\ASFuelControl.Windows\BalanceExporter\Properties,3,148,73,34,6,22,2,53,295,0,2
D:\dev\Exedron\ASFuelControl.Windows\BalanceExporter\Reports,12,10409,8858,5461,719,973,2,578,656,0,2
D:\dev\Exedron\ASFuelControl.Windows\Code,663,194159,154441,102908,12191,17080,540,22638,63440,2,44
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.AK6,4,751,465,290,48,101,10,185,741,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.AK6\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Ametek,4,443,357,216,38,62,0,24,143,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Ametek\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Box69,7,2424,1917,1225,322,289,11,218,837,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Box69\Properties,2,73,36,12,2,12,1,25,150,0,1
