File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\DeviceSettingForm.cs,97,86,53,3,11,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\DeviceSettingForm.Designer.cs,182,132,120,1,6,0,44,64,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\DispenserDiscountForm.cs,90,80,45,11,10,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\DispenserDiscountForm.Designer.cs,227,176,158,1,7,0,44,64,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\DispenserInfoForm.cs,57,49,32,2,8,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\DispenserInfoForm.Designer.cs,166,119,107,1,6,0,41,63,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\DispenserTransactionsForm.cs,172,149,106,10,21,0,2,4,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\DispenserTransactionsForm.Designer.cs,320,255,236,1,6,0,59,69,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\InvalidSaleForm.cs,127,110,74,12,17,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\InvalidSaleForm.Designer.cs,509,423,366,1,6,0,80,76,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\InvoiceForm.cs,274,245,161,25,29,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\InvoiceForm.Designer.cs,669,544,510,1,6,0,119,89,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\LoadWaitingForm.cs,71,58,38,1,8,0,5,30,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\LoadWaitingForm.Designer.cs,115,80,68,1,6,0,29,59,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\LoginForm.cs,75,63,46,5,12,1,0,1,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\LoginForm.Designer.cs,203,149,137,1,10,0,44,65,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\MainMenuForm.cs,306,270,162,16,36,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\MainMenuForm.Designer.cs,1347,1126,1066,1,6,0,215,121,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\PumpDebugForm.cs,20,18,12,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\PumpDebugForm.Designer.cs,94,62,50,1,6,0,26,59,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\ResolveAlarmForm.cs,89,74,50,5,10,0,5,27,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\ResolveAlarmForm.Designer.cs,226,170,151,1,6,0,50,66,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\SendHistoryForm.cs,44,38,26,0,6,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\SendHistoryForm.Designer.cs,259,206,187,1,6,0,47,65,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\ShiftForm.cs,177,131,94,10,31,1,15,53,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\ShiftForm.Designer.cs,351,274,253,1,6,0,71,74,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\ShiftPopUpForm.cs,20,18,12,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\ShiftPopUpForm.Designer.cs,80,54,42,1,6,0,20,57,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\UserVerificationForm.cs,107,78,47,9,13,0,16,56,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\UserVerificationForm.Designer.cs,203,150,138,1,6,0,47,65,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\AttachFillingForm.cs,221,190,119,28,31,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\AttachFillingForm.Designer.cs,681,544,514,1,6,0,131,86,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectBalanceForm.cs,63,52,38,2,11,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectBalanceForm.Designer.cs,215,162,149,1,6,0,47,65,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectCompanyForm.cs,73,63,41,3,10,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectCompanyForm.Designer.cs,124,89,75,1,6,0,29,59,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectController.cs,78,69,39,6,9,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectController.Designer.cs,113,78,64,1,6,0,29,59,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectDispenserForm.cs,52,46,28,2,6,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectDispenserForm.Designer.cs,130,92,78,1,6,0,32,60,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectDispenserNozzleForm.cs,128,87,48,10,11,0,30,77,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectDispenserNozzleForm.Designer.cs,104,72,58,1,6,0,26,58,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectFromToForm.cs,59,53,33,2,6,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectFromToForm.Designer.cs,147,106,94,1,6,0,35,61,0,0
